Program Name,Age Start,Age End,Capacity
Sewing,7,17,8
Crocheting,7,17,12
Sign Painting,7,17,12
Robotics,7,17,11
Boating,14,17,12
Cooking,7,17,12
Dance,7,17,12
Compassing,7,17,12
Volleyball,7,17,18
Fishing,7,17,15
